2026-02-11 13:29:39 | XAUTUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=85
2026-02-11 13:29:39 | BTCUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=3
2026-02-11 13:29:39 | ETHUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=45
2026-02-11 13:29:40 | PAXGUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=29
2026-02-11 13:29:40 | XMRUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=11
2026-02-11 13:29:40 | ZECUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=95
2026-02-11 13:30:18 | BTCUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=2
2026-02-11 13:30:18 | CLANKERUSDT | Blocked by: orderbook_quality | spread=0.09%, vol=21
2026-02-11 13:30:18 | ETHUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=22
2026-02-11 13:30:18 | PAXGUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=29
2026-02-11 13:30:18 | XMRUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=11
2026-02-11 13:30:18 | XAUTUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=52
2026-02-11 13:30:20 | ZECUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=84
2026-02-11 13:30:56 | CLANKERUSDT | Blocked by: orderbook_quality | spread=0.06%, vol=18
2026-02-11 13:30:56 | XMRUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=41
2026-02-11 13:30:56 | BTCUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=1
2026-02-11 13:30:56 | PAXGUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=17
2026-02-11 13:30:56 | ETHUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=27
2026-02-11 13:30:56 | XAUTUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=44
2026-02-11 13:30:57 | ZECUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=112
2026-02-11 13:31:35 | CLANKERUSDT | Blocked by: orderbook_quality | spread=0.06%, vol=33
